time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783817181.7656887,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24961
1783817181.7657893,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7658484,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24966,443
1783817181.765976,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7660291,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7660806,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7661304,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,96,6,4.207.44.69,172.16.1.47,443,8364
1783817181.76618,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24966
1783817181.76623,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.76628,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7663283,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.766378,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7664297,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7664783,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7665274,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7665763,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.766625,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7667043,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7667582,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7668142,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7668626,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7669144,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.7669613,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7670066,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7670534,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,4.150.223.102,24980,443
1783817181.7671201,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61520,53
1783817181.7671869,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61520
1783817181.7672472,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61521,53
1783817181.7673142,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61521
1783817181.767371,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61522,53
1783817181.7674336,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61522
1783817181.7674906,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61523,53
1783817181.7675478,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61523
1783817181.767604,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61524,53
1783817181.7676675,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61524
1783817181.7677236,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61525,53
1783817181.7677839,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61525
1783817181.767831,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,95,6,4.150.223.102,172.16.1.47,443,24980
1783817181.767885,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61526,53
1783817181.767942,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,61526
1783817181.7679963,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,61527,53
