time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783943951.93168,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.118.94,59790,443,105
1783943951.9318256,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.209.94,36224,443,105
1783943951.931899,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,104.17.207.5,51344,443,105
1783943951.9319942,24:b2:b9:63:90:49,d4:e9:8a:f7:44:46,2048,128,1,192.168.1.5,192.168.1.6,,,133
1783943951.9320607,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,49,6,104.17.207.5,192.168.1.6,443,51344,105
1783943951.9321203,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,104.17.207.5,51344,443,66
1783943951.9321783,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,226
1783943951.9322414,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,161
1783943951.9323077,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,226
1783943951.9323635,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,142.251.118.94,192.168.1.6,443,59790,105
1783943951.932437,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.118.94,59790,443,66
1783943951.932494,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.209.94,192.168.1.6,443,36224,105
1783943951.9325497,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.209.94,36224,443,66
1783943951.9326036,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,350
1783943951.9326613,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,114
1783943951.9327285,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943951.9327838,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,1195
1783943951.9328423,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943951.9328976,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,114
1783943951.932953,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943951.933028,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,1427
1783943951.9330866,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,1514
1783943951.9331424,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943951.933201,b9:63:90:49:00:3c,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943951.9332592,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,327
