time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783945259.159598,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,17,192.168.1.6,168.126.63.1,57468,53,74
1783945259.1599026,b9:63:90:49:00:44,aa:aa:03:00:00:00,2048,64,17,192.168.1.6,168.126.63.1,57468,53,74
1783945259.1599958,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,57468,137
1783945259.1600833,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,57468,149
1783945259.160205,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,74
1783945259.1603055,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,74
1783945259.1604047,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,66
1783945259.160581,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,583
1783945259.160665,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1607323,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,2754
1783945259.1608055,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,66
1783945259.160875,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,72
1783945259.1609414,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,2470
1783945259.1610408,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,66
1783945259.1611226,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,124
1783945259.1611967,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,161
1783945259.1612535,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1613154,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,258
1783945259.1613798,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.16147,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,131
1783945259.1615334,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,97
1783945259.1615891,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1616516,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1617105,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,405
1783945259.161764,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,259
1783945259.1618252,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,259
1783945259.1618936,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,78
1783945259.161943,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,181
1783945259.162011,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1620767,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,207
1783945259.1621387,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,259
1783945259.1621938,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,66
1783945259.1622784,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,259
1783945259.162341,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,78
1783945259.1624405,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42786,443,173
1783945259.1625197,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,66
1783945259.1625903,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,50,6,146.75.49.91,192.168.1.6,443,42786,201
