time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783943884.461623,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,98,6,20.184.175.15,192.168.1.6,443,58658,66
1783943884.4618511,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,180
1783943884.4619944,24:b2:b9:63:90:49,d4:e9:8a:f7:44:46,2048,128,1,192.168.1.5,192.168.1.6,,,208
1783943884.462074,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,179
1783943884.4621398,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,2962
1783943884.4622076,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4622684,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,13098
1783943884.46235,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4624336,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,544
1783943884.4624994,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,3503
1783943884.462559,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4626148,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,2962
1783943884.4626772,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4627364,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,13576
1783943884.4628005,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,423
1783943884.462869,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,8754
1783943884.46294,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4629986,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,7232
1783943884.4630592,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,48,6,125.209.254.11,192.168.1.6,443,42046,26860
1783943884.4631424,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4631982,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.254.11,42046,443,66
1783943884.4632533,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,224
1783943884.4633179,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,319
1783943884.4633791,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,350
1783943884.4634714,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,66
1783943884.4635265,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,114
1783943884.4635832,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943884.4636443,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,1211
1783943884.4637032,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943884.463758,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,114
1783943884.4638193,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943884.4638867,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,110.93.158.196,192.168.1.6,443,49394,3091
1783943884.463947,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,110.93.158.196,49394,443,66
1783943884.4640381,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,17,192.168.1.6,168.126.63.1,41626,53,79
1783943884.4641287,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,17,192.168.1.6,168.126.63.1,55628,53,79
1783943884.4642072,b9:63:90:49:00:49,aa:aa:03:00:00:00,2048,64,17,192.168.1.6,168.126.63.1,55628,53,79
1783943884.4643097,24:b2:b9:63:90:49,d4:e9:8a:f7:44:46,2048,128,1,192.168.1.5,192.168.1.6,,,107
1783943884.4644253,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,55628,186
1783943884.4645176,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,55628,183
1783943884.464611,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,41626,183
1783943884.4646735,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35276,443,74
1783943884.4647343,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,74
1783943884.4647899,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35286,74
1783943884.464844,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,66
1783943884.4648967,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,1494
1783943884.4649558,b9:63:90:49:02:16,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,223.130.192.99,35286,443,540
1783943884.4650156,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35276,74
1783943884.4650702,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35276,443,66
1783943884.465125,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35276,443,1494
1783943884.4651837,b9:63:90:49:02:16,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,223.130.192.99,35276,443,540
1783943884.4652407,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35286,66
1783943884.4652944,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35286,2962
1783943884.465351,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,66
1783943884.4654193,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35286,613
1783943884.4654846,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,66
1783943884.4655392,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35276,66
1783943884.465593,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35286,443,192
1783943884.46565,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35276,1514
1783943884.4657075,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,223.130.192.99,35276,443,66
1783943884.4657626,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,47,6,223.130.192.99,192.168.1.6,443,35276,1514
