time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783945343.9336596,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,140.82.114.25,52396,443,254
1783945343.9338472,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,34.107.243.93,52402,443,94
1783945343.9339614,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,17,192.168.1.6,168.126.63.1,48873,53,90
1783945343.934061,b9:63:90:49:00:54,aa:aa:03:00:00:00,2048,64,17,192.168.1.6,168.126.63.1,48873,53,90
1783945343.93417,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,48873,234
1783945343.9342642,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.6,53,48873,165
1783945343.934356,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,140.82.114.25,52396,443,96
1783945343.9344532,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,34.107.243.93,192.168.1.6,443,52402,66
1783945343.9345233,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.153.119,38810,443,105
1783945343.9346087,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,34.107.243.93,52398,443,105
1783945343.9346704,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,185.199.111.215,47512,443,105
1783945343.9347303,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.209.94,50082,443,105
1783945343.934793,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,34.160.144.191,43942,443,112
1783945343.9348547,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.132,34528,443,105
1783945343.9349177,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.206.175.186,42584,443,105
1783945343.9349785,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.211.155,60034,443,105
1783945343.9350371,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,15.235.222.88,48132,443,105
1783945343.935095,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,185.199.108.215,46070,443,105
1783945343.935157,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,146.75.49.91,42850,443,112
1783945343.935219,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.211.132,57250,443,105
1783945343.9352837,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,20.200.245.245,49494,443,105
1783945343.9353454,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.211.132,57246,443,105
1783945343.935421,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.169.84,35870,443,105
1783945343.9354815,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.23.95,60410,443,105
1783945343.9355464,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.23.95,54826,443,105
1783945343.9356046,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,185.199.108.215,46064,443,105
