time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783943697.9026985,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,99,6,4.207.44.74,192.168.1.6,443,49420,66
1783943697.9028566,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,192.178.230.84,37054,443,105
1783943697.903001,24:b2:b9:63:90:49,d4:e9:8a:f7:44:46,2048,128,1,192.168.1.5,192.168.1.6,,,133
1783943697.9031029,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,192.178.230.84,192.168.1.6,443,37054,105
1783943697.9032056,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,192.178.230.84,37054,443,66
1783943697.9032812,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,61.75.207.147,44426,443,90
1783943697.9033597,b9:63:90:49:00:3c,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,61.75.207.147,44426,443,66
1783943697.9034595,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,61.75.207.147,44426,443,66
1783943697.9035366,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,114,6,61.75.207.147,192.168.1.6,443,44426,66
1783943697.9036124,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,61.75.207.147,44426,443,66
1783943697.9036853,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,114,6,61.75.207.147,192.168.1.6,443,44426,78
1783943697.9037576,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.156.4,45614,443,394
1783943697.9038334,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.156.4,45614,443,1466
1783943697.9039047,b9:63:90:49:05:b4,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,142.251.156.4,45614,443,1466
1783943697.9040298,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.156.4,45614,443,1466
1783943697.9041014,b9:63:90:49:05:b4,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,142.251.156.4,45614,443,1466
1783943697.9041994,24:b2:b9:63:90:49,d4:e9:8a:f7:44:46,2048,128,1,192.168.1.5,192.168.1.6,,,422
1783943697.9043384,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.156.4,45614,443,1466
1783943697.9044392,b9:63:90:49:01:5c,aa:aa:03:00:00:00,2048,64,6,192.168.1.6,142.251.156.4,45614,443,354
1783943697.9045317,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,142.251.156.4,192.168.1.6,443,45614,66
1783943697.904609,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,142.251.156.4,192.168.1.6,443,45614,66
