time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783945483.665666,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47204,443,130
1783945483.6658468,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.24.102,39810,443,130
1783945483.665938,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.24.102,39800,443,130
1783945483.6660082,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47190,443,130
1783945483.666083,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47186,443,130
1783945483.6661472,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47170,443,130
1783945483.6662076,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,105
1783945483.6662698,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47166,443,130
1783945483.666355,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.24.102,39810,443,158
1783945483.6664298,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.24.102,39800,443,175
1783945483.6665769,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47204,443,158
1783945483.666666,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47190,443,175
1783945483.6667416,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47186,443,175
1783945483.6667974,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47170,443,175
1783945483.6668515,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47166,443,175
1783945483.6669257,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.251.24.102,39810,443,424
1783945483.6669874,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47204,443,770
1783945483.6670609,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,1466
1783945483.6671877,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,1466
1783945483.667261,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,1466
1783945483.6673162,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,66
1783945483.667369,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,1466
1783945483.667437,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,66
1783945483.6675005,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,2866
1783945483.6675818,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,66
1783945483.6676342,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,2866
1783945483.6677084,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,66
1783945483.6677625,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,2866
1783945483.6678357,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,172.217.213.119,59626,443,66
1783945483.6678877,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,142.250.21.132,192.168.1.6,443,47204,682
1783945483.6679447,18:bd:ad:17:b9:bf,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,142.250.21.132,47204,443,97
1783945483.668061,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,113,6,172.217.213.119,192.168.1.6,443,59626,2866
