time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783815355.617342,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.3,168.126.63.1,63301,53
1783815355.6175098,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.3,53,63301
1783815355.6175973,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,13.69.116.109,13963,443
1783815355.6176782,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,97,6,13.69.116.109,192.168.1.3,443,13963
1783815355.6177547,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,13.69.116.109,13963,443
1783815355.6178288,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,13.69.116.109,13963,443
1783815355.6179018,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,97,6,13.69.116.109,192.168.1.3,443,13963
1783815355.6179752,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,13.69.116.109,13963,443
1783815355.6180623,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.3,168.126.63.1,55903,53
1783815355.61814,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.3,168.126.63.1,56665,53
1783815355.6182117,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.3,53,55903
1783815355.6182818,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.3,53,56665
1783815355.6183465,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,142.251.119.95,37912,443
1783815355.618419,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,142.251.119.95,192.168.1.3,443,37912
1783815355.6184905,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,142.251.119.95,37912,443
1783815355.6185715,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,142.251.119.95,37912,443
1783815355.6186275,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,142.251.119.95,192.168.1.3,443,37912
1783815355.6186845,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,142.251.119.95,192.168.1.3,443,37912
1783815355.618743,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,142.251.119.95,192.168.1.3,443,37912
1783815355.6188085,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,142.251.119.95,192.168.1.3,443,37912
