time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783815256.5262306,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5263605,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.5264382,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5265062,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.526571,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,192.178.230.188,14569,5228
1783815256.5266352,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.526699,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5267634,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,113,6,192.178.230.188,192.168.1.3,5228,14569
1783815256.5268524,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,45639,443
1783815256.5269186,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.5269814,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.527047,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5271099,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.5271719,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.5272331,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,91,6,20.42.72.131,192.168.1.3,443,59480
1783815256.5272937,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5273554,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.42.72.131,59480,443
1783815256.5274205,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,61.247.197.73,34788,443
1783815256.5274873,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,61.247.197.73,34788,443
1783815256.527557,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.5276222,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.5276856,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,61.247.197.73,34788,443
1783815256.5277488,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,61.247.197.73,34788,443
1783815256.527813,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.5278761,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.528165,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.528267,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
1783815256.528345,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,61.247.197.73,192.168.1.3,443,34788
