time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783814586.0337532,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.033819,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.0338562,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.0338893,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.033921,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.0339532,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.0339835,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.0340133,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.0340428,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.034073,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.0341027,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.034132,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.0341618,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.89.1.9,39522,443
1783814586.0341935,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,102,6,20.89.1.9,192.168.1.3,443,39522
1783814586.0342243,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.35.218.131,41619,443
1783814586.0342581,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,48,6,23.35.218.131,192.168.1.3,443,41619
1783814586.0343204,01:00:5e:00:00:fb,2e:1b:a7:e7:6b:9f,2048,255,17,172.16.1.17,224.0.0.251,5353,5353
1783814586.0343769,01:00:5e:00:00:fb,ce:ef:80:52:c5:99,2048,255,17,192.168.1.4,224.0.0.251,5353,5353
1783814586.0344183,ff:ff:ff:ff:ff:ff,2e:1b:a7:e7:6b:9f,2048,255,17,0.0.0.0,255.255.255.255,68,67
1783814586.0344574,ff:ff:ff:ff:ff:ff,18:bd:ad:17:b9:bf,2048,64,17,192.168.1.1,255.255.255.255,67,68
1783814586.0344937,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,38,6,140.82.113.21,192.168.1.3,443,35739
1783814586.034528,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,140.82.113.21,35739,443
1783814586.034557,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,38,6,140.82.113.21,192.168.1.3,443,35739
1783814586.0345929,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,38,6,140.82.113.21,192.168.1.3,443,35739
1783814586.0346224,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,140.82.113.21,35739,443
1783814586.0346525,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,49,6,172.64.148.235,192.168.1.3,443,17838
1783814586.0346808,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,172.64.148.235,17838,443
1783814586.0347087,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,49,6,172.64.148.235,192.168.1.3,443,17838
1783814586.0347435,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.3,168.126.63.1,57567,53
1783814586.0347881,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,51,17,168.126.63.1,192.168.1.3,53,57567
1783814586.0348184,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.11.232.26,39523,80
1783814586.0349803,ff:ff:ff:ff:ff:ff,2e:1b:a7:e7:6b:9f,2048,255,17,0.0.0.0,255.255.255.255,68,67
1783814586.0350196,ff:ff:ff:ff:ff:ff,18:bd:ad:17:b9:bf,2048,64,17,192.168.1.1,255.255.255.255,67,68
1783814586.0350525,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,23.11.232.26,192.168.1.3,80,39523
1783814586.0350847,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.11.232.26,39523,80
1783814586.035117,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.11.232.26,39523,80
1783814586.0351484,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,23.11.232.26,192.168.1.3,80,39523
1783814586.0351808,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,23.11.232.26,192.168.1.3,80,39523
1783814586.0352247,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.11.232.26,39523,80
1783814586.0352566,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,23.11.232.26,39523,80
1783814586.0352883,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,45,6,23.11.232.26,192.168.1.3,80,39523
1783814586.0353277,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.3,168.126.63.1,57567,53
